id;mined_at;block_height;block_hash;available;estimated;available_spendable;estimated_spendable
1;2021-01-16T22:43:09;44519;silver Dynamic Berkshire;78928;4731;77409;88150
2;2021-01-16T22:51:04;16569;Tunisian Dinar web-readiness;6400;44005;97863;85118
3;2021-01-16T23:02:18;54916;Rubber Tasty Rubber Bike Metal;497;71110;93972;82592
4;2021-01-16T17:58:20;33189;Cotton;60706;72119;64671;68199
5;2021-01-16T23:20:10;29239;RSS Kenyan Shilling networks;65807;91929;3879;80532
6;2021-01-16T15:41:39;12916;magenta Handmade;46439;57280;44370;52846
7;2021-01-17T07:09:10;97937;Mauritius;83584;95570;26787;91093
8;2021-01-17T06:11:12;440;bypass;217;32317;40841;6785
9;2021-01-17T00:13:23;46050;SDD;97228;24155;1427;70329
10;2021-01-16T11:54:32;17218;Developer Kentucky white;57070;53004;10527;74079
