id;initiated_at;transaction_type;tx_hash;expected_amount;actual_amount;transaction_fee;service_fee;btc_usd;address;amount
1;2021-01-19T18:01:10;FORWARD_MERCHANT;approach Polarised;16431;99701;87407;56354;99553;empowering Shilling Buckinghamshire;15757
2;2021-01-19T08:56:37;INCOMING_CUSTOMER;Kids;38347;39660;934;32169;53012;matrix Innovative;87884
3;2021-01-19T11:46:07;INCOMING_CUSTOMER;Cotton Small;53629;63183;59276;83747;52466;Executive Ball e-tailers;98576
4;2021-01-19T02:49:44;INCOMING_CUSTOMER;incentivize high-level Industrial;78429;19104;36588;68314;33719;Tools;78509
5;2021-01-19T16:38:19;FORWARD_MERCHANT;Bedfordshire JBOD;89810;39480;54845;66039;48023;Cloned;72853
6;2021-01-19T11:49:35;INCOMING_UNKNOWN;Fish Cookinseln;79154;84505;52956;20716;67007;overriding Clothing full-range;91887
7;2021-01-19T03:23:17;FORWARD_HOLDINGS;Soap;75828;48773;91628;14899;86056;multi-byte mindshare optical;49356
8;2021-01-19T18:32:03;INCOMING_CUSTOMER;parsing JBOD;27977;34835;98102;59376;21281;Bedfordshire metrics Lek;68877
9;2021-01-19T13:42:07;FORWARD_HOLDINGS;deposit Account Salad;68142;82326;74676;66488;5002;Ameliorated;54095
10;2021-01-19T16:41:36;INCOMING_UNKNOWN;Electronics Palau;87982;42234;20794;17382;1166;green moderator;43098
